d_donor_A,d_acceptor_A
1.105958662225822398e+00,1.463197272614259692e+00
1.104307739839040847e+00,1.464842611464055366e+00
1.102659021197303968e+00,1.466489546156090951e+00
1.101011875093918624e+00,1.468138855758740036e+00
1.099366913211897501e+00,1.469790024199052692e+00
1.097723556450015847e+00,1.471443442559434933e+00
1.096082501193274217e+00,1.473098722947574934e+00
1.094443163187788226e+00,1.474756387714997841e+00
1.092805796009226338e+00,1.476416173484986771e+00
1.091171095664539070e+00,1.478077568054178448e+00
1.089540349343477876e+00,1.479739265968754269e+00
1.087912724392676944e+00,1.481402076374436438e+00
1.086287442622214883e+00,1.483066881266216441e+00
1.084665736274168513e+00,1.484732679249503473e+00
1.083047738518061021e+00,1.486399267857548168e+00
1.081432693102232889e+00,1.488067338760286074e+00
1.079821178440198759e+00,1.489736400945859351e+00
1.078213394961228477e+00,1.491406597213519314e+00
1.076608504974158498e+00,1.493078571505564112e+00
1.075007812209693103e+00,1.494751225069879341e+00
1.073411775701411441e+00,1.496424081860239674e+00
1.071821032714866506e+00,1.498096674214559831e+00
1.070235712017488128e+00,1.499768816699769136e+00
1.068655084836307445e+00,1.501441234092081300e+00
1.067080609673766833e+00,1.503112827413427999e+00
1.065511358598660197e+00,1.504784257526836200e+00
1.063948140666041375e+00,1.506454895636829328e+00
1.062391607437732199e+00,1.508124180723412477e+00
1.060843004674231205e+00,1.509790835410554921e+00
1.059301276638596745e+00,1.511455897511608581e+00
1.057766598184043394e+00,1.513119485639377926e+00
1.056240023753518775e+00,1.514780652565707042e+00
1.054721650953201806e+00,1.516439330471910596e+00
1.053211559930244512e+00,1.518095504532788631e+00
1.051710340126429388e+00,1.519748438296701032e+00
1.050217690237856161e+00,1.521398527551178548e+00
1.048733603381835522e+00,1.523045719926129138e+00
1.047258004576884449e+00,1.524690205385113462e+00
1.045790998920092640e+00,1.526332331720062108e+00
1.044333370326302468e+00,1.527971156257111662e+00
1.042885562705041291e+00,1.529606167426616148e+00
1.041447198617962089e+00,1.531238017227867232e+00
